PERIOD,TYPE,MAIN_STAFF_GROUP,STAFF_GROUP,GRADE,AGE_BAND,HC,FTE
200909 to 201009,Leavers,NHS infrastructure support,Managers,All grades,Under 25,18,16.92
200909 to 201009,Leavers,NHS infrastructure support,Managers,All grades,25 to 34,444,412.97114
200909 to 201009,Leavers,NHS infrastructure support,Managers,All grades,35 to 44,617,567.72717
200909 to 201009,Leavers,NHS infrastructure support,Managers,All grades,45 to 54,473,441.3089
200909 to 201009,Leavers,NHS infrastructure support,Managers,All grades,55 to 64,524,466.14859
200909 to 201009,Leavers,NHS infrastructure support,Managers,All grades,65 and over,42,33.23501
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 2,All age bands,4,2.30667
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 2,25 to 34,1,0.82667
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 2,45 to 54,2,0.81333
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 2,55 to 64,1,0.66667
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 3,All age bands,5,3.76667
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 3,Under 25,1,1.0
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 3,25 to 34,1,1.0
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 3,35 to 44,2,1.26667
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 3,45 to 54,1,0.5
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 4,All age bands,22,18.77153
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 4,Under 25,1,0.6
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 4,25 to 34,4,3.23333
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 4,35 to 44,4,4.0
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 4,45 to 54,3,3.0
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 4,55 to 64,7,5.95333
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 4,65 and over,3,1.98487
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 5,All age bands,71,63.14225
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 5,Under 25,3,3.0
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 5,25 to 34,23,21.45334
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 5,35 to 44,16,12.8977
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 5,45 to 54,6,6.0
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 5,55 to 64,23,19.79121
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 6,All age bands,290,265.97729
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 6,Under 25,8,8.0
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 6,25 to 34,84,77.74378
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 6,35 to 44,67,63.34036
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 6,45 to 54,47,44.05813
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 6,55 to 64,73,62.80835
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 6,65 and over,11,10.02667
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 7,All age bands,635,577.44098
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 7,Under 25,4,3.32
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 7,25 to 34,169,158.72708
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 7,35 to 44,177,155.46699
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 7,45 to 54,131,122.19227
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 7,55 to 64,145,130.72931
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 7,65 and over,9,7.00533
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8a,All age bands,468,428.83751
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8a,Under 25,1,1.0
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8a,25 to 34,103,95.74307
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8a,35 to 44,166,152.23662
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8a,45 to 54,96,88.50102
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8a,55 to 64,96,86.02347
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8a,65 and over,6,5.33333
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8b,All age bands,315,294.80829
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8b,25 to 34,41,36.91306
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8b,35 to 44,105,100.68352
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8b,45 to 54,80,75.92811
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8b,55 to 64,84,77.77027
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8b,65 and over,5,3.51333
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8c,All age bands,154,148.56124
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8c,25 to 34,7,6.6
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8c,35 to 44,47,45.80346
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8c,45 to 54,55,53.34667
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8c,55 to 64,44,42.21111
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8c,65 and over,1,0.6
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8d,All age bands,55,53.42
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8d,25 to 34,3,2.92
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8d,35 to 44,18,17.6
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8d,45 to 54,24,23.4
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 8d,55 to 64,10,9.5
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 9,All age bands,6,5.6
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 9,35 to 44,3,2.6
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 9,45 to 54,2,2.0
200909 to 201009,Leavers,NHS infrastructure support,Managers,Band 9,55 to 64,1,1.0
200909 to 201009,Leavers,NHS infrastructure support,Managers,Non AfC Grade,All age bands,96,75.67838
200909 to 201009,Leavers,NHS infrastructure support,Managers,Non AfC Grade,25 to 34,8,7.81081
200909 to 201009,Leavers,NHS infrastructure support,Managers,Non AfC Grade,35 to 44,14,11.83185
200909 to 201009,Leavers,NHS infrastructure support,Managers,Non AfC Grade,45 to 54,27,21.56937
200909 to 201009,Leavers,NHS infrastructure support,Managers,Non AfC Grade,55 to 64,40,29.69487
200909 to 201009,Leavers,NHS infrastructure support,Managers,Non AfC Grade,65 and over,7,4.77148
200909 to 201009,Leavers,NHS infrastructure support,Central functions,All grades,All age bands,9961,8463.3442
200909 to 201009,Leavers,NHS infrastructure support,Central functions,All grades,Under 25,1488,1392.86269
200909 to 201009,Leavers,NHS infrastructure support,Central functions,All grades,25 to 34,2927,2623.83242
200909 to 201009,Leavers,NHS infrastructure support,Central functions,All grades,35 to 44,1825,1518.55948
200909 to 201009,Leavers,NHS infrastructure support,Central functions,All grades,45 to 54,1439,1212.00028
200909 to 201009,Leavers,NHS infrastructure support,Central functions,All grades,55 to 64,1954,1509.0904
200909 to 201009,Leavers,NHS infrastructure support,Central functions,All grades,65 and over,328,206.99893
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 1,All age bands,88,61.33388
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 1,Under 25,37,32.50667
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 1,25 to 34,10,5.75333
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 1,35 to 44,10,6.86534
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 1,45 to 54,9,4.20668
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 1,55 to 64,15,9.17546
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 1,65 and over,7,2.8264
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 2,All age bands,1810,1339.38286
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 2,Under 25,463,412.15626
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 2,25 to 34,365,281.28789
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 2,35 to 44,242,167.81984
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 2,45 to 54,251,178.30999
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 2,55 to 64,373,236.58172
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 2,65 and over,116,63.22716
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 3,All age bands,2177,1787.59651
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 3,Under 25,417,392.08541
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 3,25 to 34,605,521.84039
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 3,35 to 44,353,273.39167
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 3,45 to 54,318,253.16201
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 3,55 to 64,413,301.32103
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 3,65 and over,71,45.796
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 4,All age bands,2017,1748.82566
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 4,Under 25,233,221.36697
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 4,25 to 34,625,565.91945
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 4,35 to 44,364,304.07116
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 4,45 to 54,263,230.30684
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 4,55 to 64,469,384.74032
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 4,65 and over,63,42.42092
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 5,All age bands,1574,1423.7593
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 5,Under 25,120,116.94
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 5,25 to 34,612,571.84932
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 5,35 to 44,310,272.911
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 5,45 to 54,232,213.52351
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 5,55 to 64,272,229.06742
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 5,65 and over,28,19.46805
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 6,All age bands,1109,1007.94386
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 6,Under 25,27,27.0
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 6,25 to 34,428,401.57411
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 6,35 to 44,263,237.90479
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 6,45 to 54,173,154.59638
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 6,55 to 64,200,173.01167
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 6,65 and over,18,13.85691
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 7,All age bands,587,529.56796
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 7,Under 25,7,7.0
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 7,25 to 34,198,187.73656
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 7,35 to 44,161,141.09229
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 7,45 to 54,107,100.68449
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 7,55 to 64,106,86.51195
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 7,65 and over,8,6.54267
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8a,All age bands,168,153.36234
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8a,Under 25,1,1.0
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8a,25 to 34,38,35.75866
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8a,35 to 44,56,51.77365
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8a,45 to 54,34,31.02144
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8a,55 to 64,35,30.38192
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8a,65 and over,4,3.42667
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8b,All age bands,58,55.32275
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8b,25 to 34,14,12.68
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8b,35 to 44,20,19.71734
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8b,45 to 54,17,16.8
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8b,55 to 64,6,5.72
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8b,65 and over,1,0.40541
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8c,All age bands,21,18.4
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8c,25 to 34,5,3.6
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8c,35 to 44,6,5.8
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8c,45 to 54,7,6.50667
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8c,55 to 64,2,1.49333
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8c,65 and over,1,1.0
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8d,All age bands,9,7.83478
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8d,25 to 34,3,2.60811
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8d,35 to 44,5,4.8
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Band 8d,55 to 64,1,0.42667
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Non AfC Grade,All age bands,369,330.0143
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Non AfC Grade,Under 25,186,182.80738
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Non AfC Grade,25 to 34,39,33.2246
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Non AfC Grade,35 to 44,38,32.4124
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Non AfC Grade,45 to 54,31,22.88227
200909 to 201009,Leavers,NHS infrastructure support,Central functions,Non AfC Grade,55 to 64,64,50.65891
